userid,newsid,taskid,topic,topic_pref,equality,imp_position,viewport_time,dwell_time,read_ratio,read_speed,direction_change_times,pre_pref,read_pref,post_pref
25,229,10,体育,3,1,4,9535.0,,,,,,,3.0
25,172,10,体育,3,0,5,8259.0,,,,,,,4.0
25,6,10,体育,3,1,6,7423.0,10.0,0.625965996909,202.5,8.0,4.0,4.0,4.0
25,121,10,体育,3,1,7,7346.0,,,,,,,3.0
25,59,10,体育,3,0,8,5597.0,,,,,,,3.0
25,45,10,体育,3,1,9,13672.0,,,,,,,4.0
25,227,10,体育,3,1,10,12370.0,,,,,,,3.0
25,32,10,体育,3,0,11,12819.0,23.0,0.762558869702,168.956521739,36.0,5.0,4.0,4.0
25,219,10,体育,3,1,12,5108.0,,,,,,,4.0
25,61,10,体育,3,0,13,9161.0,,,,,,,2.0
25,62,10,体育,3,0,14,7374.0,68.0,0.836464387079,91.0147058824,24.0,3.0,2.0,4.0
25,14,10,体育,3,0,15,6169.0,33.0,0.773068267067,124.909090909,8.0,4.0,4.0,5.0
25,79,5,历史,3,1,1,1302.0,80.0,0.888004442799,119.925,10.0,4.0,5.0,5.0
25,237,5,历史,3,1,2,3165.0,16.0,0.364047978394,286.4375,10.0,4.0,3.0,3.0
25,106,5,历史,3,1,3,6300.0,41.0,0.641799881587,52.8780487805,0.0,4.0,4.0,5.0
25,116,5,娱乐,5,1,4,8620.0,,,,,,,3.0
25,120,5,娱乐,5,1,5,13031.0,,,,,,,3.0
25,137,5,娱乐,5,1,6,13579.0,,,,,,,3.0
25,223,5,体育,3,1,7,10120.0,,,,,,,4.0
25,185,5,体育,3,1,8,4263.0,45.0,0.861651040476,167.466666667,32.0,3.0,4.0,4.0
25,81,5,体育,3,1,9,6773.0,,,,,,,3.0
25,218,5,科技,4,1,10,13829.0,89.0,0.844732452201,73.9662921348,28.0,4.0,4.0,5.0
25,154,5,科技,4,1,11,15610.0,,,,,,,5.0
25,130,5,科技,4,1,12,13659.0,,,,,,,4.0
25,17,5,社会,4,1,13,9851.0,,,,,,,3.0
